scenario,mode,n,pbs_mean,pbs_ci95,evr_mean,evr_ci95,collision_rate,travel_time_s_mean,travel_time_s_ci95,avg_speed_mean,stop_time_ratio_mean,min_stop_margin_m_mean
A1,camera_only,100,1.604520786722437,0.002360095550451341,,,,14.559085766307128,0.1537608358899014,3.3779753708355695,,
A1,multimodal_permissive,100,1.9334520286270842,0.189624035107919,,,,14.362374676267427,0.1512709262479071,3.6685168166404445,,
A1,mitigation,100,1.1884419319952375,0.1956208186554437,,,,7.946999999999999,0.08033758574166128,7.958305104535412,,
A2,camera_only,100,,,1.0,0.0,1.0,6.093999999999999,0.14517597216814168,4.840590916617564,0.0,0.0
A2,multimodal_permissive,100,,,0.942199763331898,0.0039010074857974415,1.0,6.093999999999999,0.14517597216814168,4.840590916617564,0.0,0.0
A2,mitigation,100,,,0.10359502370633118,0.009725932928075916,0.0,19.625999999999998,0.34144305639526684,1.4441813749931318,0.663597263383958,1.4808290710826646
