seed,scenario,mode,pbs,false_brake_frames,ghost_track_persistence_s,peak_jerk,min_accel,travel_time_s,avg_speed,speed_efficiency_ratio,reached_goal,min_ttc_virtual,cfg_total_time_s,cfg_x_goal,cfg_ghost_world_x,cfg_visible_back_margin,cfg_visible_front_margin,cfg_reflection_strength,cfg_noise_scale,cfg_init_speed,cfg_slope,evr,barrier_collision,crossed_door,stop_time_ratio,min_stop_margin_m,unknown_at_ref,risk_at_ref,final_progress_m,cfg_x_goal_margin_after_door,cfg_cell_size_m,cfg_door_col,cfg_door_half_height_cells,cfg_transparency,cfg_depth_void_span_m
0,A1,camera_only,1.601969754944725,0,14.9,6.972679981460215,-2.396342980798997,14.910885061964363,2.4203416646890203,0.30254270808612754,0,0.6938252785369059,14.910885061964363,60.6978671376387,36.57362933510672,4.099165813171174,37.75924287040327,0.9573164500922077,1.215640409402103,8.823741402459996,0.004362499146542287,,,,,,,,,,,,,,
0,A2,camera_only,,,,2.589984839968511,,5.9,4.482853341230987,,0,,22.142898330832725,,,,,,1.3702071294654525,2.526966861807677,0.04358147068198639,1.0,1,1,0.0,0.0,2.376377675684196e-36,0.0,26.78458517999543,9.76341421648613,0.6803833900238208,39.0,4.0,0.7287322495794207,7.707306101245458
0,A1,multimodal_permissive,1.535260417039561,0,14.8,6.846694230854255,-2.396342980798997,14.910885061964363,2.4220119718043267,0.30275149647554084,0,0.44541476562947935,14.910885061964363,60.6978671376387,36.57362933510672,4.099165813171174,37.75924287040327,0.9573164500922077,1.215640409402103,8.823741402459996,0.004362499146542287,,,,,,,,,,,,,,
0,A2,multimodal_permissive,,,,2.589984839968511,,5.9,4.482853341230987,,0,,22.142898330832725,,,,,,1.3702071294654525,2.526966861807677,0.04358147068198639,0.9264508494796166,1,1,0.0,0.0,1.3418216117901863e-31,0.0,26.78458517999543,9.76341421648613,0.6803833900238208,39.0,4.0,0.7287322495794207,7.707306101245458
0,A1,mitigation,1.26973289803616,0,0.0,22.782869455017494,-2.396342980798997,7.6000000000000005,7.942930897081237,0.9928663621351547,1,0.027521808347792547,14.910885061964363,60.6978671376387,36.57362933510672,4.099165813171174,37.75924287040327,0.9573164500922077,1.215640409402103,8.823741402459996,0.004362499146542287,,,,,,,,,,,,,,
0,A2,mitigation,,,,60.72465772609713,,22.0,1.149028614379028,,0,,22.142898330832725,,,,,,1.3702071294654525,2.526966861807677,0.04358147068198639,0.19074653744289344,0,0,0.6877828054298643,1.1917812724144632,0.6488408935751047,0.2894095037615293,25.19907598547472,9.76341421648613,0.6803833900238208,39.0,4.0,0.7287322495794207,7.707306101245458
1,A1,camera_only,1.6018413691588211,0,13.700000000000001,8.060562844704094,-1.6018413691588211,14.53546487410077,2.5893882664998986,0.3236735333124873,0,0.7106693298692335,14.53546487410077,67.50463696325936,38.018234578074875,9.691896682823463,31.741977424125825,0.8300648767328697,1.4035472047473756,8.022997840922903,0.00495936876730595,,,,,,,,,,,,,,
1,A2,camera_only,,,,3.3784227471833472,,6.5,5.067891508569799,,0,,17.151575122836874,,,,,,1.0077156048978984,3.3604936684419546,-0.043914996330340225,1.0,1,1,0.0,0.0,0.0,0.0,33.35490778140944,9.514052434699227,0.755340063850699,44.0,2.0,0.9249914628913851,7.015564932235646
1,A1,multimodal_permissive,1.535104240817503,0,13.5,7.389770382531273,-1.535104240817503,14.53546487410077,2.591135066812236,0.3238918833515295,0,0.45757314518219516,14.53546487410077,67.50463696325936,38.018234578074875,9.691896682823463,31.741977424125825,0.8300648767328697,1.4035472047473756,8.022997840922903,0.00495936876730595,,,,,,,,,,,,,,
1,A2,multimodal_permissive,,,,3.3784227471833472,,6.5,5.067891508569799,,0,,17.151575122836874,,,,,,1.0077156048978984,3.3604936684419546,-0.043914996330340225,0.9506671261526416,1,1,0.0,0.0,3.183495906827484e-38,0.0,33.35490778140944,9.514052434699227,0.755340063850699,44.0,2.0,0.9249914628913851,7.015564932235646
1,A1,mitigation,0.6772228361786993,0,0.0,13.01111172219847,-0.6772228361786993,8.4,7.969142206239372,0.9961427757799215,1,0.08622687764295421,14.53546487410077,67.50463696325936,38.018234578074875,9.691896682823463,31.741977424125825,0.8300648767328697,1.4035472047473756,8.022997840922903,0.00495936876730595,,,,,,,,,,,,,,
1,A2,mitigation,,,,65.0,,17.0,1.8731473837590495,,0,,17.151575122836874,,,,,,1.0077156048978984,3.3604936684419546,-0.043914996330340225,0.07572281533596144,0,0,0.6081871345029239,1.6523239244775034,0.8591297050762646,1.0,31.487381716787073,9.514052434699227,0.755340063850699,44.0,2.0,0.9249914628913851,7.015564932235646
2,A1,camera_only,1.613781866909852,0,12.100000000000001,26.019095348303384,-1.613781866909852,13.784836402747949,3.769096208690932,0.4711370260863665,0,0.03254748423920262,13.784836402747949,60.98491143414123,47.399160368319926,4.551495652810582,35.201206311587846,0.9094257369710665,0.8597159123616129,7.1378665683326705,-0.02250306320939619,,,,,,,,,,,,,,
2,A2,camera_only,,,,2.5123345000070962,,6.4,4.659515117227305,,0,,20.61588158181576,,,,,,1.1093669722796087,3.899553197822349,0.0560923142992412,1.0,1,1,0.0,0.0,0.0,0.0,30.24613286689018,8.749062651121712,0.7010087168627471,43.0,3.0,0.8940172976293752,8.415324111548127
2,A1,multimodal_permissive,1.546211756801705,0,11.100000000000001,26.074175645213646,-1.546211756801705,13.784836402747949,4.220889357521212,0.5276111696901515,0,0.055199727316974645,13.784836402747949,60.98491143414123,47.399160368319926,4.551495652810582,35.201206311587846,0.9094257369710665,0.8597159123616129,7.1378665683326705,-0.02250306320939619,,,,,,,,,,,,,,
2,A2,multimodal_permissive,,,,2.5123345000070962,,6.4,4.659515117227305,,0,,20.61588158181576,,,,,,1.1093669722796087,3.899553197822349,0.0560923142992412,0.9473530235367951,1,1,0.0,0.0,2.0696532975415995e-38,0.0,30.24613286689018,8.749062651121712,0.7010087168627471,43.0,3.0,0.8940172976293752,8.415324111548127
2,A1,mitigation,1.2870275472050547,0,0.0,16.94843925692306,-0.4078163784872513,7.7,7.985579177028241,0.9981973971285302,1,0.009334297893277298,13.784836402747949,60.98491143414123,47.399160368319926,4.551495652810582,35.201206311587846,0.9094257369710665,0.8597159123616129,7.1378665683326705,-0.02250306320939619,,,,,,,,,,,,,,
2,A2,mitigation,,,,9.789840407668038,,20.5,1.3510509849654337,,0,,20.61588158181576,,,,,,1.1093669722796087,3.899553197822349,0.0560923142992412,0.05271458256438593,0,0,0.6601941747572816,2.138843102733638,0.8650518819046777,1.0,27.923618277847975,8.749062651121712,0.7010087168627471,43.0,3.0,0.8940172976293752,8.415324111548127
3,A1,camera_only,1.5943203622488724,0,10.8,9.661925149212486,-1.5943203622488724,13.256947501430872,3.5431617677346576,0.4428952209668322,0,0.7846429081495643,13.256947501430872,60.368105065961,47.217842512889554,7.492972216386207,29.12954370688479,0.8326130044614831,1.107193603419709,7.399347286592697,0.023457715140921456,,,,,,,,,,,,,,
3,A2,camera_only,,,,0.9737359404950674,,5.7,5.11303362109181,,0,,17.625196109567717,,,,,,1.3771621191983363,4.868801764508295,-0.025895860350145024,1.0,1,1,0.0,0.0,0.0,0.0,29.64243014733096,8.064912761982647,0.7523436255669909,39.0,3.0,0.8725676285739166,8.242736035399126
3,A1,multimodal_permissive,1.5279623990108817,0,10.600000000000001,8.738370325521062,-1.5279623990108817,13.256947501430872,3.5447164600359375,0.4430895575044922,0,0.579969309694377,13.256947501430872,60.368105065961,47.217842512889554,7.492972216386207,29.12954370688479,0.8326130044614831,1.107193603419709,7.399347286592697,0.023457715140921456,,,,,,,,,,,,,,
3,A2,multimodal_permissive,,,,0.9737359404950674,,5.7,5.11303362109181,,0,,17.625196109567717,,,,,,1.3771621191983363,4.868801764508295,-0.025895860350145024,0.9409124826021601,1,1,0.0,0.0,1.4399543023580975e-33,0.0,29.64243014733096,8.064912761982647,0.7523436255669909,39.0,3.0,0.8725676285739166,8.242736035399126
