run_id,architecture,scenario_tag,exit_closed,CIR_event,DOC,Ttravel_s,Tdelay_s,LMS_m,exit_commit_ratio,hold_ratio,merge_back_ratio,unsafe_commit_ratio,first_exit_commit_distance_m,first_merge_back_distance_m,mean_z_exit_prior,mean_z_temp_ctrl,mean_z_boundary,mean_z_conflict,mean_b_exit,total_cost,unsafe_exit_commit_cost,late_mergeback_cost,unnecessary_reroute_cost,oscillation_cost,efficiency_cost
0,camera_only,closed_transition_conflict,True,0.0,3,4.5,0.2720320414962467,20.0,0.13333333333333333,0.3333333333333333,0.0,0.0,34.951971985246054,,0.5940228985873607,0.3014754814378335,0.31207261710424117,0.27339455726249984,0.43985261891865113,5.219476109734714,0.0,1.2000000000000002,0.0,0.30000000000000004,0.23895221946942563
0,multi_sensor_permissive,closed_transition_conflict,True,0.0,7,4.699999999999999,0.472032041496246,0.0,0.0,0.14893617021276595,0.3191489361702128,0.0,,23.383934010216024,0.5832027553730718,0.3135227938780636,0.328879223773768,0.28472695024012307,0.33823811345640153,0.9091036964723733,0.0,0.0,0.0,0.7000000000000001,0.4182073929447467
0,mitigation,closed_transition_conflict,True,0.0,3,4.799999999999999,0.5720320414962456,0.0,0.0,0.08333333333333333,0.3958333333333333,0.0,,27.079556111669252,0.5891546074313659,0.3148955873056322,0.33157249801831506,0.28137514723799667,0.24060740435994768,0.5485296352270691,0.0,0.0,0.0,0.30000000000000004,0.49705927045413817
1,camera_only,closed_transition_conflict,True,1.0,3,3.900000000000002,0.2240354497143775,25.0,0.07692307692307693,0.38461538461538464,0.0,0.02564102564102564,34.61380795440988,,0.6187525789103949,0.3939280258405628,0.2437611277712505,0.3020041594715804,0.4499183489759872,4.603957731903259,0.1,0.8,0.0,0.30000000000000004,0.20791546380651954
1,multi_sensor_permissive,closed_transition_conflict,True,0.0,5,4.100000000000001,0.4240354497143768,0.5767395977552354,0.0,0.1951219512195122,0.2926829268292683,0.0,,19.423260402244765,0.6114528668922645,0.41460704371998436,0.26061512830194633,0.3063905626658416,0.3524676539927671,0.674323029904177,0.0,0.0,0.0,0.5,0.3486460598083539
1,mitigation,closed_transition_conflict,True,0.0,5,4.100000000000001,0.4240354497143768,0.0,0.0,0.07317073170731707,0.43902439024390244,0.0,,31.401357724938016,0.6143596743017503,0.41414735926657636,0.2558524027989626,0.3087123278393616,0.2429613882370839,0.7057093097591148,0.0,0.0,0.0,0.5,0.4114186195182294
2,camera_only,partial_redirect_conflict,True,1.0,3,4.100000000000001,0.18905277615936944,25.0,0.24390243902439024,0.21951219512195122,0.0,0.0975609756097561,35.34246081400043,,0.6797657313157917,0.2617268725021998,0.1826816490637721,0.2779531539328238,0.5339374742356247,6.386086549498997,0.4,0.5,0.0,0.30000000000000004,0.17217309899799155
2,multi_sensor_permissive,partial_redirect_conflict,True,0.0,9,4.300000000000001,0.38905277615936873,0.0,0.0,0.13953488372093023,0.2558139534883721,0.0,,22.26809247293086,0.6735637462710805,0.2770097164136253,0.19710442943759832,0.288673101593437,0.42688534855844024,1.0580534519263403,0.0,0.0,0.0,0.9,0.3161069038526805
2,mitigation,partial_redirect_conflict,True,0.0,3,4.300000000000001,0.38905277615936873,0.0,0.0,0.046511627906976744,0.3488372093023256,0.0,,24.55977181455064,0.6744687685899947,0.2779769065459097,0.1907960536662239,0.2840990303579265,0.29620010205286196,0.4809115274237993,0.0,0.0,0.0,0.30000000000000004,0.3618230548475986
3,camera_only,closed_transition_conflict,True,1.0,5,4.5,0.3517559164356019,25.0,0.044444444444444446,0.4444444444444444,0.0,0.022222222222222223,35.96853145003623,,0.5382367944974691,0.40045159204151476,0.21202824183300054,0.2883420079037653,0.38418935839839186,4.841465662472475,0.1,0.8,0.0,0.5,0.28293132494494966
3,multi_sensor_permissive,closed_transition_conflict,True,0.0,3,4.6,0.45175591643560153,0.0,0.0,0.17391304347826086,0.32608695652173914,0.0,,22.63945541436934,0.5340574908674199,0.3995258278481781,0.2132614758177056,0.2890585720756451,0.30605710514699724,0.5122348214289746,0.0,0.0,0.0,0.30000000000000004,0.42446964285794914
