architecture,run_id,exit_closed,CIR_event,DOC,Ttravel_s,Tdelay_s,LMS_m,exit_commit_ratio,hold_ratio,merge_back_ratio,unsafe_commit_ratio,first_exit_commit_distance_m,first_merge_back_distance_m,mean_z_exit_prior,mean_z_temp_ctrl,mean_z_boundary,mean_z_conflict,mean_b_exit,total_cost,unsafe_exit_commit_cost,late_mergeback_cost,unnecessary_reroute_cost,oscillation_cost,efficiency_cost
camera_only,49.5,0.81,0.37,3.93,4.290000000000001,0.2577617463291619,22.28395061728395,0.14844207337282764,0.30015268462948586,0.0,0.016931787048387905,34.86173696413356,,0.581159897069234,0.28048095066667444,0.19439864802754875,0.24636266010465854,0.4477495776707718,3.8526856396077136,0.07200000000000001,0.6579999999999999,0.0,0.393,0.21537127921542676
multi_sensor_permissive,49.5,0.81,0.01,5.42,4.394,0.3617617463291615,0.4247030335267049,0.03490542433657359,0.13094630994752085,0.230451221611075,0.00025,22.976528070122598,21.465966610625532,0.577727684506844,0.286522513448703,0.19950874168786067,0.24843764448144104,0.36140025529392866,0.7502332880660879,0.001,0.009000000000000001,0.0,0.542,0.32446657613217555
mitigation,49.5,0.81,0.0,3.39,4.487,0.4547617463291612,0.011304264582258909,0.019342554970522813,0.05843902917752177,0.372505869731866,0.0,27.004589432428382,26.112541257427694,0.5755455874184634,0.289878186619553,0.20251195674514583,0.25007997930024983,0.25917010884691116,0.9935639090042894,0.0,0.0,0.223,0.3390000000000001,0.41712781800857845
