architecture,run_id,exit_closed,CIR_event,DOC,Ttravel_s,Tdelay_s,LMS_m,exit_commit_ratio,hold_ratio,merge_back_ratio,unsafe_commit_ratio,first_exit_commit_distance_m,first_merge_back_distance_m,mean_z_exit_prior,mean_z_temp_ctrl,mean_z_boundary,mean_z_conflict,mean_b_exit,total_cost,unsafe_exit_commit_cost,late_mergeback_cost,unnecessary_reroute_cost,oscillation_cost,efficiency_cost
camera_only,47.871428571428574,1.0,0.4857142857142857,3.6285714285714286,4.307142857142858,0.27868895409612676,22.428571428571427,0.09061210761028425,0.37724452277401793,0.0,0.021789951107321914,34.88502582340211,,0.5770076481885729,0.3426787733571998,0.23655538079421268,0.2740969956418322,0.426904882956144,4.919374414561201,0.09285714285714287,0.8771428571428572,0.0,0.3628571428571429,0.23874882912240136
multi_sensor_permissive,47.871428571428574,1.0,0.014285714285714285,4.885714285714286,4.435714285714286,0.4072603826675549,0.39820406977321404,0.0010064935064935067,0.15991405599272226,0.2954623692576025,0.00035714285714285714,23.64644030392605,21.542139014642487,0.5720009332306399,0.34998037041006036,0.2429985146163481,0.27621507769935527,0.33992653401381373,0.7062141790261445,0.0014285714285714286,0.004285714285714286,0.0,0.4885714285714286,0.37242835805228874
mitigation,47.871428571428574,1.0,0.0,3.414285714285714,4.517142857142857,0.48868895409612606,0.011890277345942885,0.0,0.06965585708012283,0.4070782142280963,0.0,,28.588936310152917,0.5710318656156937,0.3537097636258606,0.2464992383554145,0.2786512950303255,0.23963572949769635,0.5669060810907789,0.0,0.0,0.0,0.34142857142857147,0.45095501932441484
