seed,scenario,mode,pbs,false_brake_frames,ghost_track_persistence_s,peak_jerk,min_accel,travel_time_s,avg_speed,speed_efficiency_ratio,reached_goal,min_ttc_virtual,cfg_total_time_s,cfg_x_goal,cfg_ghost_world_x,cfg_visible_back_margin,cfg_visible_front_margin,cfg_reflection_strength,cfg_noise_scale,cfg_init_speed,cfg_slope,evr,barrier_collision,crossed_door,stop_time_ratio,min_stop_margin_m,unknown_at_ref,risk_at_ref,final_progress_m,cfg_x_goal_margin_after_door,cfg_cell_size_m,cfg_door_col,cfg_door_half_height_cells,cfg_transparency,cfg_depth_void_span_m
19,A2,mitigation,,,,65.0,,21.900000000000002,1.433704460061069,,0,,22.039923511640325,,,,,,1.3565711055961676,3.8603535396991573,-0.008044551634063648,0.10590755336265846,0,0,0.6863636363636364,1.2750146046286055,0.8298936969051072,1.0,31.2872092200502,10.21230204607863,0.7411129365988626,44.0,3.0,0.8794437587152559,7.209490437226085
20,A1,camera_only,1.5964393718840828,0,13.200000000000001,12.509013202647731,-4.378154620926697,13.840227887890478,2.692302385314647,0.3365377981643309,0,0.7748006973727684,13.840227887890478,62.61146709802942,37.704075696070184,7.135650110313595,32.91002090529046,0.7386262822732128,0.784121674445752,9.465720909916866,0.019406788235758667,,,,,,,,,,,,,,
20,A2,camera_only,,,,1.4267257154769042,,6.4,4.783284290144386,,0,,19.467786531447153,,,,,,0.7946977354541193,4.4224253850634065,0.037596640294761945,1.0,1,1,0.0,0.0,0.0,0.0,31.07205857230805,9.060707234359048,0.7178684399036297,43.0,2.0,0.7390689375634257,5.024858062297089
20,A1,multimodal_permissive,1.5298373745495453,0,13.0,12.509013202647731,-4.378154620926697,13.840227887890478,2.6937940587588347,0.33672425734485434,0,0.5648011826652066,13.840227887890478,62.61146709802942,37.704075696070184,7.135650110313595,32.91002090529046,0.7386262822732128,0.784121674445752,9.465720909916866,0.019406788235758667,,,,,,,,,,,,,,
20,A2,multimodal_permissive,,,,1.4267257154769042,,6.4,4.783284290144386,,0,,19.467786531447153,,,,,,0.7946977354541193,4.4224253850634065,0.037596640294761945,0.9507174499791269,1,1,0.0,0.0,4.152137387798069e-32,0.0,31.07205857230805,9.060707234359048,0.7178684399036297,43.0,2.0,0.7390689375634257,5.024858062297089
20,A1,mitigation,1.633576536989378,0,0.0,24.525285581535982,-4.378154620926697,7.9,7.8836822720013515,0.9854602840001689,1,0.015258430586137033,13.840227887890478,62.61146709802942,37.704075696070184,7.135650110313595,32.91002090529046,0.7386262822732128,0.784121674445752,9.465720909916866,0.019406788235758667,,,,,,,,,,,,,,
20,A2,mitigation,,,,61.31176958708385,,19.3,1.5201171641841744,,0,,19.467786531447153,,,,,,0.7946977354541193,4.4224253850634065,0.037596640294761945,0.11786540164382278,0,0,0.6443298969072165,1.171300957788695,0.8084088341107217,1.0,29.43752165980731,9.060707234359048,0.7178684399036297,43.0,2.0,0.7390689375634257,5.024858062297089
21,A1,camera_only,1.584597907016537,0,13.9,9.413879885865306,-1.584597907016537,15.343352766452412,2.9730191547209692,0.37162739434012115,0,0.8710752336289573,15.343352766452412,64.05847029570968,45.937216665717955,4.534587237533254,35.56857299048685,0.9750107825783577,1.0598943965057925,7.281007708368356,0.04582664453658424,,,,,,,,,,,,,,
21,A2,camera_only,,,,3.267909046734412,,6.0,5.095048216782467,,0,,20.717902017069388,,,,,,1.4757808287356535,4.09673235568205,-0.03339899669078578,1.0,1,1,0.0,0.0,0.0,0.0,31.026112112288608,7.288770943779783,0.7740882959137502,40.0,4.0,0.7744662232416887,5.923858661276306
21,A1,multimodal_permissive,1.5188910197397365,0,13.700000000000001,8.529968654193887,-1.5188910197397365,15.343352766452412,2.974601604932913,0.3718252006166141,0,0.627540644857234,15.343352766452412,64.05847029570968,45.937216665717955,4.534587237533254,35.56857299048685,0.9750107825783577,1.0598943965057925,7.281007708368356,0.04582664453658424,,,,,,,,,,,,,,
21,A2,multimodal_permissive,,,,3.267909046734412,,6.0,5.095048216782467,,0,,20.717902017069388,,,,,,1.4757808287356535,4.09673235568205,-0.03339899669078578,0.9526279580600227,1,1,0.0,0.0,2.6700231813379844e-31,0.0,31.026112112288608,7.288770943779783,0.7740882959137502,40.0,4.0,0.7744662232416887,5.923858661276306
21,A1,mitigation,1.808233624444095,0,0.0,28.86364435919414,-1.0781308114753192,8.3,7.747250559992551,0.9684063199990689,1,0.028407510226099976,15.343352766452412,64.05847029570968,45.937216665717955,4.534587237533254,35.56857299048685,0.9750107825783577,1.0598943965057925,7.281007708368356,0.04582664453658424,,,,,,,,,,,,,,
21,A2,mitigation,,,,75.72355842463391,,20.6,1.4625857790594925,,0,,20.717902017069388,,,,,,1.4757808287356535,4.09673235568205,-0.03339899669078578,0.10574193948565355,0,0,0.7053140096618358,1.3672034431521034,0.8055640271338298,1.0,29.34373929374422,7.288770943779783,0.7740882959137502,40.0,4.0,0.7744662232416887,5.923858661276306
22,A1,camera_only,1.6228596354559066,0,11.8,26.042812083252496,-2.6811137397292635,14.099040746296229,4.216018445097997,0.5270023056372496,0,0.0769161895522925,14.099040746296229,59.99295379375083,37.2398172256579,7.91915012560552,33.51204453692736,0.9767956609088524,1.4238328593734613,9.092403308092612,-0.04485612325247407,,,,,,,,,,,,,,
22,A2,camera_only,,,,2.431106034871706,,5.2,4.996328345552324,,0,,20.054398354488473,,,,,,0.9340128295188521,4.391050198209932,-0.009492133231248093,1.0,1,1,0.0,0.0,0.0,0.0,26.44767207669152,8.92985810541067,0.6870197813102317,38.0,3.0,0.8056865904193178,5.515915542655544
22,A1,multimodal_permissive,1.5547831365623286,0,10.8,26.14487803755367,-2.6811137397292635,13.3,4.682598369642794,0.5853247962053493,1,0.06135931158968593,14.099040746296229,59.99295379375083,37.2398172256579,7.91915012560552,33.51204453692736,0.9767956609088524,1.4238328593734613,9.092403308092612,-0.04485612325247407,,,,,,,,,,,,,,
22,A2,multimodal_permissive,,,,2.431106034871706,,5.2,4.996328345552324,,0,,20.054398354488473,,,,,,0.9340128295188521,4.391050198209932,-0.009492133231248093,0.9671859304430103,1,1,0.0,0.0,6.841573126802453e-31,0.0,26.44767207669152,8.92985810541067,0.6870197813102317,38.0,3.0,0.8056865904193178,5.515915542655544
